Model,Method,Method_Description,Rank,Feature,Importance_Score,Normalized_Score
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,1,Fz_std,64.000000000000,1.000000000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,2,Ty_iqr,52.000000000000,0.812500000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,3,Fz_mean_abs,51.000000000000,0.796875000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,4,Fz_slope,48.000000000000,0.750000000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,5,Fz_peak_frequency,43.000000000000,0.671875000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,6,Fz_rms,42.000000000000,0.656250000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,7,Fx_min,38.000000000000,0.593750000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,8,Fz_variance,36.000000000000,0.562500000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,9,Ty_cv,32.000000000000,0.500000000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,10,Fz_energy,31.000000000000,0.484375000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,11,Fz_mean,28.000000000000,0.437500000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,12,Fx_last,26.000000000000,0.406250000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,13,Fy_max,25.000000000000,0.390625000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,14,Tz_mean_abs,24.000000000000,0.375000000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,15,Fx_rms,23.000000000000,0.359375000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,16,Fz_iqr,23.000000000000,0.359375000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,17,Tx_cv,23.000000000000,0.359375000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,18,Tz_shape_factor,23.000000000000,0.359375000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,19,Tx_min,22.000000000000,0.343750000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,20,Ty_shape_factor,21.000000000000,0.328125000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,21,Tz_rms,21.000000000000,0.328125000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,22,Fy_first,20.000000000000,0.312500000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,23,Fz_min,20.000000000000,0.312500000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,24,Fz_last,20.000000000000,0.312500000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,25,Fz_peak_to_peak,20.000000000000,0.312500000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,26,Tx_rms,20.000000000000,0.312500000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,27,Tx_shape_factor,20.000000000000,0.312500000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,28,Ty_min,20.000000000000,0.312500000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,29,Fx_shape_factor,19.000000000000,0.296875000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,30,Fy_rms,19.000000000000,0.296875000000
