Model,Rank,Feature,Overall_SHAP_Importance,SHAP_Score_Class_collision,SHAP_Score_Class_normal,SHAP_Score_Class_obstruction
KNN,1,Fx_peak_frequency,0.024703167115,0.034716275170,0.038634569705,0.000758656471
KNN,2,Tx_peak_frequency,0.021933895547,0.029128618369,0.034800618558,0.001872449714
KNN,3,Ty_peak_frequency,0.021665111297,0.030887309017,0.033753064017,0.000354960858
KNN,4,Fy_peak_frequency,0.021432188727,0.031654966407,0.032641599775,0.000000000000
KNN,5,Ty_crest_factor,0.016290229945,0.024063011996,0.024469635869,0.000338041970
KNN,6,Fz_peak_frequency,0.015981625156,0.019756684971,0.025805571518,0.002382618978
KNN,7,Fz_min,0.015723410718,0.015518124889,0.000000000000,0.031652107266
KNN,8,Fz_shape_factor,0.015348921910,0.015493136076,0.003381748643,0.027171881010
KNN,9,Tz_entropy,0.015043277671,0.021016232698,0.022967285210,0.001146315105
KNN,10,Tx_crest_factor,0.014611182828,0.021847673530,0.020663038466,0.001322836488
KNN,11,Fz_last,0.012416959334,0.011900073375,0.002050223135,0.023300581493
KNN,12,Fz_zero_crossing_rate,0.011719932166,0.020098969517,0.012893501160,0.002167325823
KNN,13,Tx_zero_crossing_rate,0.011389253539,0.015658785116,0.010451046717,0.008057928784
KNN,14,Tz_shape_factor,0.011185028824,0.018931493845,0.011855482629,0.002768109997
KNN,15,Ty_zero_crossing_rate,0.009426979182,0.015646463573,0.011730211042,0.000904262930
KNN,16,Fy_zero_crossing_rate,0.009088030898,0.007309131325,0.011895129112,0.008059832256
KNN,17,Tz_zero_crossing_rate,0.008593790838,0.014480823920,0.011300548593,0.000000000000
KNN,18,Tx_rms,0.008066121671,0.004092868574,0.000982732084,0.019122764356
KNN,19,Fz_skewness,0.007576337589,0.010036974699,0.000770633422,0.011921404646
KNN,20,Fz_kurtosis,0.007413927902,0.009973518971,0.010180825354,0.002087439380
KNN,21,Ty_p90,0.006922787082,0.004734865451,0.001250141414,0.014783354382
KNN,22,Ty_rms,0.006643068265,0.004445981287,0.000499988929,0.014983234581
KNN,23,Tx_mean,0.006260320765,0.004060326850,0.000612081844,0.014108553601
KNN,24,Fz_slope,0.006180761410,0.005279404455,0.000000000000,0.013262879776
KNN,25,Tz_kurtosis,0.005707838830,0.009149043826,0.007056769675,0.000917702989
KNN,26,Fx_crest_factor,0.005485332310,0.007186507246,0.007149645480,0.002119844204
KNN,27,Tx_min,0.005335854611,0.003362555572,0.000965558291,0.011679449969
KNN,28,Fx_zero_crossing_rate,0.004864699952,0.006222521215,0.008298347759,0.000073230882
KNN,29,Tz_peak_frequency,0.004660986708,0.003988821713,0.005512598635,0.004481539775
KNN,30,Fz_first,0.004432535382,0.000628364874,0.000000000000,0.012669241271
KNN,31,Fx_shape_factor,0.004351537375,0.006400413497,0.006294471008,0.000359727619
KNN,32,Ty_min,0.004144224508,0.003264699480,0.001715905549,0.007452068495
KNN,33,Fx_kurtosis,0.004064099453,0.004727757150,0.004903800086,0.002560741124
KNN,34,Tx_std,0.003327643520,0.000238410614,0.000589260514,0.009155259430
KNN,35,Fy_shape_factor,0.003147771285,0.004896708966,0.003000984492,0.001545620398
KNN,36,Tz_crest_factor,0.002997022495,0.003939988214,0.002593474238,0.002457605034
KNN,37,Fy_max,0.002901671844,0.001788688789,0.000519778163,0.006396548581
KNN,38,Tz_p90,0.002679763428,0.002925774986,0.000420265663,0.004693249635
KNN,39,Fx_rms,0.002645279790,0.002423627245,0.000383628329,0.005128583798
KNN,40,Fz_entropy,0.002519769647,0.002143181204,0.002962900211,0.002453227527
KNN,41,Fx_max,0.002305425976,0.002741772259,0.002635386470,0.001539119200
KNN,42,Ty_iqr,0.002218580352,0.001305316033,0.002538269654,0.002812155369
KNN,43,Ty_skewness,0.002090186288,0.003063307164,0.001654549988,0.001552701711
KNN,44,Ty_kurtosis,0.001629603445,0.002006486729,0.002206811885,0.000675511723
KNN,45,Ty_max,0.001606147705,0.002321117837,0.000899539420,0.001597785856
KNN,46,Tx_slope,0.001530036427,0.001830182299,0.000000000000,0.002759926982
KNN,47,Tx_iqr,0.001111385622,0.000403729372,0.000103084440,0.002827343053
KNN,48,Fy_mean,0.000865507871,0.000866243275,0.000000000000,0.001730280338
KNN,49,Tz_last,0.000734391902,0.000737962623,0.000000000000,0.001465213084
KNN,50,Tz_mean_abs,0.000710861307,0.000436588149,0.000148425804,0.001547569967
KNN,51,Tx_max,0.000370324964,0.000000000000,0.000000000000,0.001110974892
KNN,52,Tz_median,0.000271808359,0.000639140738,0.000176284338,0.000000000000
KNN,53,Ty_last,0.000163212706,0.000000000000,0.000000000000,0.000489638118
KNN,54,Fz_cv,0.000000000000,0.000000000000,0.000000000000,0.000000000000
SVM,1,Tx_crest_factor,0.032348831026,0.048871653863,0.042497654293,0.005677184921
SVM,2,Ty_peak_frequency,0.028006496146,0.042211462268,0.041808026169,0.000000000000
SVM,3,Ty_crest_factor,0.025333476956,0.037743275491,0.035200296239,0.003056859137
SVM,4,Fz_min,0.024146788174,0.030991234974,0.000374448684,0.041074680862
SVM,5,Fz_shape_factor,0.018831120677,0.021037911452,0.003301867733,0.032153582846
SVM,6,Tx_peak_frequency,0.017173233264,0.018730422465,0.028241492648,0.004547784678
SVM,7,Fz_peak_frequency,0.015442637522,0.013364097867,0.022965504237,0.009998310462
SVM,8,Fx_zero_crossing_rate,0.015173011831,0.021921709674,0.023597325820,0.000000000000
SVM,9,Fz_last,0.014920075288,0.014505391994,0.002907908121,0.027346925748
SVM,10,Tx_rms,0.012201119092,0.007428565986,0.005411970077,0.023762821214
SVM,11,Tz_entropy,0.011806125506,0.016209269637,0.018831454221,0.000377652659
SVM,12,Tz_peak_frequency,0.009735231280,0.010323094785,0.013085004752,0.005797594305
SVM,13,Tx_min,0.008501545716,0.004332764722,0.007534301215,0.013637571212
SVM,14,Fz_zero_crossing_rate,0.008457657713,0.013563610490,0.011809362649,0.000000000000
SVM,15,Tx_zero_crossing_rate,0.007353783622,0.010332504543,0.000844886136,0.010883960185
SVM,16,Fy_zero_crossing_rate,0.006317794958,0.004635361681,0.002590312545,0.011727710646
SVM,17,Ty_p90,0.006082992326,0.003498037172,0.004129709603,0.010621230204
SVM,18,Ty_rms,0.005954254946,0.004332324139,0.000787669537,0.012742771161
SVM,19,Ty_zero_crossing_rate,0.005772866552,0.009641563669,0.004797028523,0.002880007463
SVM,20,Fz_first,0.005497698078,0.005204481985,0.000000000000,0.011288612250
SVM,21,Tx_std,0.005126072398,0.000696422227,0.006524553183,0.008157241783
SVM,22,Fz_kurtosis,0.005061656686,0.007087927682,0.006896852010,0.001200190366
SVM,23,Fx_peak_frequency,0.004555156720,0.005294425818,0.007922306645,0.000448737698
SVM,24,Tz_zero_crossing_rate,0.004488865950,0.009574027387,0.003254841696,0.000637728767
SVM,25,Ty_iqr,0.004209955278,0.004257020623,0.005648847320,0.002723997891
SVM,26,Fz_skewness,0.003363932682,0.003079492437,0.002817413987,0.004194891620
SVM,27,Ty_skewness,0.003174176962,0.005332646090,0.002372283994,0.001817600802
SVM,28,Tz_kurtosis,0.003118091216,0.004330804502,0.004830932346,0.000192536800
SVM,29,Fy_max,0.003098158643,0.001315673441,0.002243520082,0.005735282407
SVM,30,Fy_peak_frequency,0.002947104989,0.003717720952,0.004571532701,0.000552061313
