Feature,reason,correlated_with,correlation,combined_score
Ty_median,Redundant,Ty_mean,0.9262612887071315,0.15062183992864164
Fx_std,Redundant,Fz_variance,0.8169100762558161,0.21971111788098113
Fx_iqr,Redundant,Fz_iqr,0.8468536696883987,0.13322309178299246
Fx_variance,Redundant,Fx_power,0.820701721829432,0.05811608289640261
Tx_power,Redundant,Tx_rms,0.9262892684360782,0.2271065867127329
Tx_shape_factor,Redundant,Tx_crest_factor,0.8745478401112021,0.30087869180791027
Tx_kurtosis,Redundant,Tx_crest_factor,0.831698844160252,0.1317268021932928
Fy_p90,Redundant,Fy_max,0.8494380590931367,0.3089511734836363
Fz_std,Redundant,Fz_rms,0.9090301111686214,0.6880993752738973
Fz_power,Redundant,Fz_rms,0.9354670345648687,0.28377825338274576
Fz_energy,Redundant,Fz_rms,0.9354670345648688,0.28377825338274576
Fz_variance,Redundant,Fz_rms,0.8289463350279046,0.2562212812510539
Fz_iqr,Redundant,Fz_variance,0.8779232050731831,0.17582267905277882
Fy_mean_abs,Redundant,Fz_rms,0.8116003465481836,0.40501289317782013
Fz_mean_abs,Redundant,Fz_rms,0.9533287557987664,0.587536252129697
Fy_energy,Redundant,Fz_mean,-0.8168659131050409,0.1603029669018332
Fy_power,Redundant,Fz_mean,-0.8168659131050408,0.16030296690183327
Fz_median,Redundant,Fz_mean,0.8240342341325836,0.26959870482099363
Fy_rms,Redundant,Fz_rms,0.8543729680161617,0.46062155057424603
Fx_p90,Redundant,Fx_max,0.9680079076464705,0.10593423884577104
Fx_mean_abs,Redundant,Fx_rms,0.9508437075185416,0.26680434837847344
Fx_energy,Redundant,Fx_rms,0.9419256033961156,0.10154309021343068
Fx_power,Redundant,Fx_energy,1.0,0.10154309021343062
Fy_last,Redundant,Fy_mean,0.8017588555179729,0.09342234729042102
Ty_shape_factor,Redundant,Ty_crest_factor,0.8605615169449042,0.3169053013875062
Tx_variance,Redundant,Tx_peak_to_peak,0.8664415112660714,0.218920081060593
Fx_peak_to_peak,Redundant,Fx_rms,0.8490009091359687,0.2455571623125793
Fx_min,Redundant,Fx_peak_to_peak,-0.8076529760882528,0.08044398899744232
Ty_mean_abs,Redundant,Ty_rms,0.9537678626401883,0.4177081549720578
Ty_power,Redundant,Ty_mean_abs,0.925532529076456,0.17393277836323626
Ty_energy,Redundant,Ty_power,1.0,0.17393277836323623
Ty_std,Redundant,Ty_rms,0.8214461728712726,0.34927567809557863
Tz_variance,Redundant,Tz_std,0.9027934943610493,0.04110936480101536
Fz_mean,Redundant,Fz_rms,-0.942753090537391,0.7034407509324255
Fz_peak_to_peak,Redundant,Fz_min,-0.9846807227216194,0.8014832994106569
Fz_rms,Redundant,Fz_peak_to_peak,0.898624914705314,0.7776715435344709
Fy_variance,Redundant,Fy_std,0.9300931101616116,0.11616276859974642
Tz_rms,Redundant,Tz_mean_abs,0.9510122304897164,0.26479494223876987
Tz_peak_to_peak,Redundant,Tz_std,0.97023038411945,0.17333098235120958
Tz_power,Redundant,Tz_std,0.8334769884974208,0.07808978918313839
Tz_energy,Redundant,Tz_std,0.833476988497421,0.07808978918313841
Tz_iqr,Redundant,Tz_std,0.8120877101046049,0.13083393721197392
Tz_std,Redundant,Tz_rms,0.903298234499569,0.17878494677185847
Ty_mean,Redundant,Ty_p90,0.8331751472934351,0.16119628545435455
Fz_crest_factor,Redundant,Fz_shape_factor,0.837773694039701,0.4717726841960517
Tz_mean,Redundant,Tz_median,0.8208070229863661,0.09688437810260596
Tx_median,Redundant,Tx_mean,0.9672775421557442,0.14135408024367666
Fz_max,Redundant,Fz_p90,0.9162464645330195,0.23334971505796157
Tz_min,Redundant,Tz_peak_to_peak,-0.8001541375926907,0.07259132105175382
Fz_p90,Redundant,Fz_median,0.8781500670354799,0.2694734184177223
Fy_median,Redundant,Fy_mean,0.8661213663925713,0.1420288134858876
Fy_min,Redundant,Fy_std,-0.8185404596288666,0.14652002305642736
Tx_peak_to_peak,Redundant,Tx_std,0.9688976737885456,0.43366747305822395
Fy_crest_factor,Redundant,Fy_shape_factor,0.8052476894583376,0.13191081599381335
Tx_last,Redundant,Tx_mean,0.8308053228369388,0.18259764502939968
Ty_peak_to_peak,Redundant,Ty_std,0.9709503573517736,0.3212370931578417
Ty_variance,Redundant,Ty_std,0.9340235520267618,0.1256057933407977
Tx_energy,Redundant,Tx_rms,0.9262892684360783,0.22710658671273293
Tx_mean_abs,Redundant,Tx_rms,0.9630765738681033,0.5163706301080946
Fy_iqr,Redundant,Fy_std,0.893213613285232,0.1420352401332134
Fy_peak_to_peak,Redundant,Fy_rms,0.840732180493943,0.38222762634871865
Fy_std,Redundant,Fy_peak_to_peak,0.9729025606856836,0.3393707703236808
Tx_p90,Redundant,Tx_mean,0.869074591401724,0.18854860800966863
Tz_max,Redundant,Tz_p90,0.8888240935328079,0.12659022386183671
